"id", "created_at", "name", "has_test", "alternate_url"
"115952716","2025-01-20T17:51:40+0300","Intern/Junior Data Scientist",false,"https://hh.ru/vacancy/115952716"
"115999994","2025-01-21T11:43:57+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/115999994"
"116112486","2025-01-22T20:29:40+0300","Data Scientist",false,"https://hh.ru/vacancy/116112486"
"111528693","2025-01-28T12:18:09+0300","Data Scientist (statistical analysis)",false,"https://hh.ru/vacancy/111528693"
"116566429","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566429"
"116566430","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566430"
"116604182","2025-01-31T12:52:47+0300","ML-инженер (Junior Data Scientist)",false,"https://hh.ru/vacancy/116604182"
"112331201","2025-01-31T13:19:15+0300","Data scientist",false,"https://hh.ru/vacancy/112331201"
"114020524","2025-01-31T17:34:45+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
"115388880","2025-02-06T13:38:31+0300","Prompt-инженер",false,"https://hh.ru/vacancy/115388880"
"115928521","2025-02-09T03:17:44+0300","Стажер Data scientist",false,"https://hh.ru/vacancy/115928521"
"117031123","2025-02-10T13:02:21+0300","Data scientist (скоринг)",false,"https://hh.ru/vacancy/117031123"
"112611475","2025-02-11T17:57:22+0300","Data Scientist / Machine Learning Engineer / Аналитик данных",false,"https://hh.ru/vacancy/112611475"
"117125086","2025-02-12T09:13:42+0300","Data Scientist (Нижний Новгород)",false,"https://hh.ru/vacancy/117125086"
"114195603","2025-02-12T11:47:23+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/114195603"
"117138848","2025-02-12T11:58:35+0300","Стажер data-scientist, чат-бот",false,"https://hh.ru/vacancy/117138848"
"117157465","2025-02-12T16:23:22+0300","Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer",false,"https://hh.ru/vacancy/117157465"
"117159931","2025-02-12T17:09:23+0300","Data Scientist",false,"https://hh.ru/vacancy/117159931"
"117195300","2025-02-13T10:56:53+0300","Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации",false,"https://hh.ru/vacancy/117195300"
"117195327","2025-02-13T10:57:16+0300","Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации",false,"https://hh.ru/vacancy/117195327"
"117195488","2025-02-13T10:57:57+0300","Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации",false,"https://hh.ru/vacancy/117195488"
"117200480","2025-02-13T11:25:41+0300","Data Scientist (ML/LLM Engineer)",false,"https://hh.ru/vacancy/117200480"
"117205197","2025-02-13T12:04:04+0300","Data Engineer",false,"https://hh.ru/vacancy/117205197"
"117230334","2025-02-13T16:48:42+0300","Количественный аналитик/Data Scientist",false,"https://hh.ru/vacancy/117230334"
"117232071","2025-02-13T17:01:44+0300","Data Scientist",false,"https://hh.ru/vacancy/117232071"
"117274280","2025-02-14T15:19:09+0300","Data Scientist",false,"https://hh.ru/vacancy/117274280"
"116880559","2025-02-16T09:42:27+0300","Стажер Data Scientist",false,"https://hh.ru/vacancy/116880559"
"117220045","2025-02-16T15:44:46+0300","Data Scientist | Data Analyst",false,"https://hh.ru/vacancy/117220045"
"116763298","2025-02-16T15:45:21+0300","Project manager",false,"https://hh.ru/vacancy/116763298"
"116543547","2025-02-17T10:26:31+0300","Data Scientist",false,"https://hh.ru/vacancy/116543547"
"117336243","2025-02-17T10:48:23+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/117336243"
"117337274","2025-02-17T10:59:52+0300","Growth manager",false,"https://hh.ru/vacancy/117337274"
"117340278","2025-02-17T11:20:00+0300","Data Scientist / Аналитик данных",false,"https://hh.ru/vacancy/117340278"
"117343648","2025-02-17T11:41:29+0300","Data Scientist",false,"https://hh.ru/vacancy/117343648"
"117349283","2025-02-17T12:35:19+0300","Data Scientist / ML Engineer",false,"https://hh.ru/vacancy/117349283"
"117350056","2025-02-17T12:45:28+0300","Data Scientist Junior+",false,"https://hh.ru/vacancy/117350056"
"117356459","2025-02-17T13:41:34+0300","Product Analyst/Продуктовый аналитик",false,"https://hh.ru/vacancy/117356459"
"117359683","2025-02-17T14:09:00+0300","Project Manager (рекомендательная платформа Сбера)",false,"https://hh.ru/vacancy/117359683"
"105927931","2025-02-17T14:57:00+0300","Data scientist",false,"https://hh.ru/vacancy/105927931"
"117365722","2025-02-17T15:16:31+0300","Middle ML Engineer / Data Scientist",false,"https://hh.ru/vacancy/117365722"
"117371174","2025-02-17T16:06:01+0300","Data Scientist/Разработчик машинного обучения (ML, NLP, LLM)",true,"https://hh.ru/vacancy/117371174"
"117355090","2025-02-17T18:04:37+0300","Data Scientist в команду риск - моделирования для сегментов корпоративного и/или малого бизнеса",false,"https://hh.ru/vacancy/117355090"
"117383593","2025-02-17T19:21:50+0300","Data scientist (middle/senior)",false,"https://hh.ru/vacancy/117383593"
"116041459","2025-02-17T22:28:08+0300","Junior Data Scientist / ML-engineer",false,"https://hh.ru/vacancy/116041459"
"117408062","2025-02-18T11:23:11+0300","Аналитик данных (Data scientist/дата-инженер)",false,"https://hh.ru/vacancy/117408062"
"117408891","2025-02-18T11:32:34+0300","Исследователь/Research Scientist",false,"https://hh.ru/vacancy/117408891"
"117137490","2025-02-18T11:44:42+0300","Data scientist в сервис путешествий",false,"https://hh.ru/vacancy/117137490"
"117413338","2025-02-18T12:25:00+0300","Аналитик данных (Data Analyst)",false,"https://hh.ru/vacancy/117413338"
"117432378","2025-02-18T15:07:39+0300","Data Scientist (jn+)",false,"https://hh.ru/vacancy/117432378"
"117152095","2025-02-18T15:08:30+0300","Junior Data Scientist \ Аналитик",false,"https://hh.ru/vacancy/117152095"
